order_id,customer_id,product_id,category,quantity,price,order_date,total_amount,payment_method,country,order_year,order_month,order_day,order_dayofweek
ORDER_000030,CUST_00353,PROD_0045,Beauty,2,128.55,2023-05-24,257.1,NetBanking,India,2023,5,24,Wednesday
ORDER_000031,CUST_00914,PROD_0046,Home,1,252.0,2024-07-25,252.0,UPI,Australia,2024,7,25,Thursday
ORDER_000032,CUST_00117,PROD_0061,Beauty,1,432.16,2024-01-08,432.16,Credit Card,Germany,2024,1,8,Monday
ORDER_000033,CUST_00172,PROD_0137,Beauty,1,289.34,2023-04-03,289.34,COD,USA,2023,4,3,Monday
ORDER_000034,CUST_00619,PROD_0058,Home,4,385.98,2023-01-15,1543.92,UPI,Germany,2023,1,15,Sunday
ORDER_000035,CUST_00706,PROD_0120,Sports,1,161.3,2024-10-11,161.3,Credit Card,USA,2024,10,11,Friday
ORDER_000036,CUST_00759,PROD_0002,Toys,1,335.05,2023-04-06,335.05,Credit Card,India,2023,4,6,Thursday
ORDER_000037,CUST_00177,PROD_0163,Toys,1,167.77,2024-03-19,167.77,UPI,Germany,2024,3,19,Tuesday
ORDER_000038,CUST_00049,PROD_0015,Electronics,1,71.24,2023-07-06,71.24,NetBanking,India,2023,7,6,Thursday
ORDER_000039,CUST_00391,PROD_0040,Toys,1,436.95,2023-10-13,436.95,Credit Card,Germany,2023,10,13,Friday
ORDER_000040,CUST_00730,PROD_0063,Electronics,1,27.77,2024-11-06,27.77,UPI,USA,2024,11,6,Wednesday
ORDER_000041,CUST_00693,PROD_0187,Sports,3,69.46,2023-12-22,208.38,COD,Germany,2023,12,22,Friday
ORDER_000042,CUST_00196,PROD_0191,Toys,1,370.53,2023-12-17,370.53,NetBanking,India,2023,12,17,Sunday
ORDER_000043,CUST_00271,PROD_0112,Electronics,1,403.25,2024-09-11,403.25,NetBanking,Australia,2024,9,11,Wednesday
ORDER_000044,CUST_00893,PROD_0065,Toys,1,138.33,2024-03-22,138.33,NetBanking,UK,2024,3,22,Friday
ORDER_000045,CUST_00108,PROD_0171,Toys,1,240.08,2024-11-28,240.08,Debit Card,Germany,2024,11,28,Thursday
ORDER_000046,CUST_00218,PROD_0053,Beauty,3,244.29,2024-12-30,732.87,Debit Card,Australia,2024,12,30,Monday
ORDER_000047,CUST_00392,PROD_0108,Home,1,259.5,2024-11-13,259.5,Credit Card,Germany,2024,11,13,Wednesday
ORDER_000048,CUST_00996,PROD_0182,Home,2,340.72,2023-08-12,681.44,Credit Card,Germany,2023,8,12,Saturday
ORDER_000049,CUST_00444,PROD_0076,Electronics,1,235.96,2024-08-18,235.96,COD,Canada,2024,8,18,Sunday
ORDER_000050,CUST_00399,PROD_0181,Electronics,1,89.32,2023-02-17,89.32,Debit Card,India,2023,2,17,Friday
ORDER_000051,CUST_00360,PROD_0089,Electronics,1,186.33,2024-04-29,186.33,COD,Germany,2024,4,29,Monday
ORDER_000052,CUST_00403,PROD_0068,Sports,1,66.47,2023-06-14,66.47,Credit Card,USA,2023,6,14,Wednesday
ORDER_000053,CUST_00696,PROD_0196,Sports,1,347.1,2024-12-04,347.1,Debit Card,USA,2024,12,4,Wednesday
ORDER_000054,CUST_00767,PROD_0025,Sports,1,397.32,2024-01-04,397.32,UPI,India,2024,1,4,Thursday
ORDER_000055,CUST_00538,PROD_0057,Home,1,411.67,2024-12-10,411.67,NetBanking,Canada,2024,12,10,Tuesday
ORDER_000056,CUST_00909,PROD_0020,Beauty,3,331.96,2023-10-13,995.88,NetBanking,UK,2023,10,13,Friday
ORDER_000057,CUST_00491,PROD_0066,Sports,2,159.76,2023-02-07,319.52,Debit Card,USA,2023,2,7,Tuesday
ORDER_000058,CUST_00921,PROD_0068,Beauty,1,87.48,2023-11-28,87.48,COD,USA,2023,11,28,Tuesday
ORDER_000059,CUST_00165,PROD_0194,Toys,2,272.2,2023-09-10,544.4,Credit Card,USA,2023,9,10,Sunday
ORDER_000060,CUST_00596,PROD_0061,Home,1,148.09,2023-02-25,148.09,Credit Card,USA,2023,2,25,Saturday
ORDER_000061,CUST_00604,PROD_0189,Beauty,1,72.23,2023-07-09,72.23,NetBanking,USA,2023,7,9,Sunday
ORDER_000062,CUST_00845,PROD_0136,Home,1,47.44,2023-03-31,47.44,Debit Card,USA,2023,3,31,Friday
ORDER_000063,CUST_00090,PROD_0187,Clothing,1,78.02,2023-02-04,78.02,COD,Canada,2023,2,4,Saturday
ORDER_000064,CUST_00789,PROD_0023,Home,1,470.18,2023-07-13,470.18,NetBanking,Germany,2023,7,13,Thursday
ORDER_000065,CUST_00549,PROD_0177,Electronics,4,216.78,2023-11-26,867.12,Debit Card,Germany,2023,11,26,Sunday
ORDER_000066,CUST_00181,PROD_0189,Toys,1,341.05,2024-06-25,341.05,NetBanking,Australia,2024,6,25,Tuesday
ORDER_000067,CUST_00913,PROD_0125,Toys,1,469.68,2023-07-06,469.68,COD,USA,2023,7,6,Thursday
ORDER_000068,CUST_00418,PROD_0120,Clothing,2,431.8,2024-01-20,863.6,Credit Card,India,2024,1,20,Saturday
ORDER_000069,CUST_00915,PROD_0043,Sports,1,87.29,2024-05-28,87.29,Credit Card,India,2024,5,28,Tuesday
ORDER_000070,CUST_00114,PROD_0018,Toys,2,260.19,2023-08-17,520.38,NetBanking,India,2023,8,17,Thursday
ORDER_000071,CUST_00883,PROD_0192,Home,1,203.73,2023-12-19,203.73,UPI,Canada,2023,12,19,Tuesday
ORDER_000072,CUST_00947,PROD_0137,Clothing,1,292.27,2023-07-18,292.27,COD,UK,2023,7,18,Tuesday
ORDER_000073,CUST_00867,PROD_0053,Toys,1,443.66,2024-10-01,443.66,COD,Australia,2024,10,1,Tuesday
ORDER_000074,CUST_00299,PROD_0032,Electronics,1,324.32,2023-12-23,324.32,COD,Canada,2023,12,23,Saturday
ORDER_000075,CUST_00773,PROD_0016,Sports,1,10.89,2023-10-12,10.89,NetBanking,Canada,2023,10,12,Thursday
ORDER_000076,CUST_00563,PROD_0159,Beauty,1,396.4,2023-08-01,396.4,Credit Card,India,2023,8,1,Tuesday
ORDER_000077,CUST_00612,PROD_0169,Beauty,1,435.46,2023-06-29,435.46,Debit Card,USA,2023,6,29,Thursday
ORDER_000078,CUST_00883,PROD_0128,Home,1,135.86,2023-12-23,135.86,UPI,Canada,2023,12,23,Saturday
ORDER_000079,CUST_00869,PROD_0037,Beauty,1,6.82,2024-11-24,6.82,Debit Card,USA,2024,11,24,Sunday
ORDER_000080,CUST_00859,PROD_0177,Sports,1,136.32,2024-07-03,136.32,COD,Germany,2024,7,3,Wednesday
ORDER_000081,CUST_00461,PROD_0122,Toys,1,27.13,2024-08-15,27.13,NetBanking,India,2024,8,15,Thursday
ORDER_000082,CUST_00127,PROD_0102,Clothing,1,114.83,2024-07-11,114.83,COD,Germany,2024,7,11,Thursday
ORDER_000083,CUST_00531,PROD_0121,Clothing,1,216.13,2024-07-07,216.13,NetBanking,UK,2024,7,7,Sunday
ORDER_000084,CUST_00606,PROD_0087,Home,2,224.48,2023-04-14,448.96,Credit Card,Australia,2023,4,14,Friday
ORDER_000085,CUST_00899,PROD_0190,Clothing,1,440.75,2023-09-09,440.75,UPI,Canada,2023,9,9,Saturday
ORDER_000086,CUST_00867,PROD_0090,Beauty,1,407.74,2024-04-02,407.74,COD,India,2024,4,2,Tuesday
ORDER_000087,CUST_00149,PROD_0189,Toys,1,337.39,2023-08-27,337.39,Credit Card,India,2023,8,27,Sunday
ORDER_000088,CUST_00960,PROD_0153,Home,1,332.1,2024-03-28,332.1,Credit Card,USA,2024,3,28,Thursday
ORDER_000089,CUST_00606,PROD_0047,Electronics,1,345.27,2024-03-01,345.27,NetBanking,Canada,2024,3,1,Friday
ORDER_000090,CUST_00782,PROD_0166,Beauty,1,365.89,2024-05-22,365.89,NetBanking,USA,2024,5,22,Wednesday
ORDER_000091,CUST_00971,PROD_0027,Toys,1,96.37,2023-02-02,96.37,COD,India,2023,2,2,Thursday
ORDER_000092,CUST_00771,PROD_0174,Electronics,1,398.57,2024-11-16,398.57,COD,Canada,2024,11,16,Saturday
ORDER_000093,CUST_00791,PROD_0132,Beauty,1,17.37,2024-06-22,17.37,COD,Germany,2024,6,22,Saturday
ORDER_000094,CUST_00629,PROD_0178,Home,1,423.06,2024-10-26,423.06,Credit Card,UK,2024,10,26,Saturday
ORDER_000095,CUST_00375,PROD_0131,Toys,1,264.66,2024-12-13,264.66,UPI,Germany,2024,12,13,Friday
ORDER_000096,CUST_00417,PROD_0143,Sports,4,149.63,2023-11-25,598.52,UPI,Germany,2023,11,25,Saturday
ORDER_000097,CUST_00782,PROD_0073,Home,1,58.71,2024-02-12,58.71,Debit Card,USA,2024,2,12,Monday
ORDER_000098,CUST_00812,PROD_0082,Clothing,1,60.33,2023-08-31,60.33,UPI,India,2023,8,31,Thursday
ORDER_000099,CUST_00316,PROD_0166,Beauty,2,80.3,2024-01-22,160.6,COD,Germany,2024,1,22,Monday
ORDER_000100,CUST_00515,PROD_0168,Sports,2,331.13,2024-04-09,662.26,UPI,Germany,2024,4,9,Tuesday
ORDER_000101,CUST_00813,PROD_0072,Electronics,1,300.64,2023-11-04,300.64,NetBanking,UK,2023,11,4,Saturday
ORDER_000102,CUST_00254,PROD_0151,Home,1,80.84,2023-11-03,80.84,Credit Card,Australia,2023,11,3,Friday
ORDER_000103,CUST_00356,PROD_0070,Electronics,1,468.23,2023-12-19,468.23,COD,UK,2023,12,19,Tuesday
ORDER_000104,CUST_00364,PROD_0060,Electronics,1,431.68,2024-05-11,431.68,COD,USA,2024,5,11,Saturday
ORDER_000105,CUST_00129,PROD_0184,Home,1,249.63,2023-12-28,249.63,NetBanking,Australia,2023,12,28,Thursday
ORDER_000106,CUST_00875,PROD_0161,Sports,1,145.15,2023-10-14,145.15,COD,India,2023,10,14,Saturday
ORDER_000107,CUST_00686,PROD_0097,Clothing,1,26.08,2024-01-30,26.08,Debit Card,USA,2024,1,30,Tuesday
ORDER_000108,CUST_00889,PROD_0165,Home,1,111.29,2023-09-07,111.29,Credit Card,India,2023,9,7,Thursday
ORDER_000109,CUST_00199,PROD_0009,Clothing,1,67.4,2024-07-07,67.4,COD,India,2024,7,7,Sunday
ORDER_000110,CUST_00316,PROD_0033,Clothing,2,405.1,2023-05-16,810.2,COD,Germany,2023,5,16,Tuesday
ORDER_000111,CUST_00888,PROD_0052,Home,2,431.91,2023-08-06,863.82,COD,Canada,2023,8,6,Sunday
ORDER_000112,CUST_00946,PROD_0132,Electronics,1,374.47,2024-05-14,374.47,Debit Card,Australia,2024,5,14,Tuesday
ORDER_000113,CUST_00963,PROD_0148,Sports,1,436.15,2023-07-21,436.15,Credit Card,Canada,2023,7,21,Friday
ORDER_000114,CUST_00497,PROD_0025,Home,1,233.02,2023-02-09,233.02,COD,Australia,2023,2,9,Thursday
ORDER_000115,CUST_00359,PROD_0024,Clothing,1,62.28,2023-03-24,62.28,UPI,Germany,2023,3,24,Friday
ORDER_000116,CUST_00248,PROD_0005,Toys,1,51.57,2024-10-30,51.57,NetBanking,USA,2024,10,30,Wednesday
ORDER_000117,CUST_00817,PROD_0163,Home,1,30.56,2023-01-05,30.56,NetBanking,Australia,2023,1,5,Thursday
ORDER_000118,CUST_00431,PROD_0054,Electronics,2,314.65,2023-09-11,629.3,Credit Card,USA,2023,9,11,Monday
ORDER_000119,CUST_00836,PROD_0053,Electronics,1,127.4,2023-04-05,127.4,Debit Card,India,2023,4,5,Wednesday
ORDER_000120,CUST_00972,PROD_0114,Beauty,1,100.83,2023-03-15,100.83,UPI,Canada,2023,3,15,Wednesday
ORDER_000121,CUST_00902,PROD_0125,Clothing,1,139.03,2024-09-24,139.03,Credit Card,USA,2024,9,24,Tuesday
ORDER_000122,CUST_00801,PROD_0115,Beauty,1,7.14,2023-09-20,7.14,UPI,USA,2023,9,20,Wednesday
ORDER_000123,CUST_00368,PROD_0161,Sports,1,254.37,2024-03-05,254.37,Debit Card,Canada,2024,3,5,Tuesday
ORDER_000124,CUST_00853,PROD_0006,Beauty,2,156.16,2023-03-30,312.32,Debit Card,Canada,2023,3,30,Thursday
ORDER_000125,CUST_00795,PROD_0167,Beauty,1,239.33,2024-03-24,239.33,Debit Card,Canada,2024,3,24,Sunday
ORDER_000126,CUST_00295,PROD_0051,Electronics,1,34.76,2023-11-01,34.76,Credit Card,Australia,2023,11,1,Wednesday
ORDER_000127,CUST_00117,PROD_0144,Toys,1,228.52,2023-10-09,228.52,UPI,Australia,2023,10,9,Monday
ORDER_000128,CUST_00817,PROD_0047,Toys,1,68.24,2024-11-26,68.24,UPI,UK,2024,11,26,Tuesday
ORDER_000129,CUST_00803,PROD_0039,Beauty,1,366.01,2023-04-11,366.01,Credit Card,Canada,2023,4,11,Tuesday
ORDER_000130,CUST_00518,PROD_0003,Beauty,2,55.14,2023-06-15,110.28,UPI,Germany,2023,6,15,Thursday
ORDER_000131,CUST_00816,PROD_0039,Electronics,1,121.41,2023-07-06,121.41,NetBanking,USA,2023,7,6,Thursday
ORDER_000132,CUST_00057,PROD_0023,Beauty,1,328.14,2024-09-15,328.14,NetBanking,Germany,2024,9,15,Sunday
ORDER_000133,CUST_00970,PROD_0153,Clothing,1,373.82,2024-02-19,373.82,Credit Card,India,2024,2,19,Monday
ORDER_000134,CUST_00746,PROD_0083,Electronics,1,324.83,2023-11-11,324.83,COD,USA,2023,11,11,Saturday
ORDER_000135,CUST_00871,PROD_0014,Sports,2,85.82,2024-11-23,171.64,COD,UK,2024,11,23,Saturday
ORDER_000136,CUST_00054,PROD_0004,Sports,1,475.66,2023-02-16,475.66,UPI,Canada,2023,2,16,Thursday
ORDER_000137,CUST_00787,PROD_0056,Home,3,69.66,2024-09-16,208.98,Credit Card,UK,2024,9,16,Monday
ORDER_000138,CUST_00307,PROD_0161,Clothing,2,384.99,2024-08-14,769.98,COD,Germany,2024,8,14,Wednesday
ORDER_000139,CUST_00098,PROD_0065,Sports,1,405.74,2023-01-23,405.74,COD,Germany,2023,1,23,Monday
ORDER_000140,CUST_00802,PROD_0106,Beauty,1,364.64,2024-02-26,364.64,Credit Card,UK,2024,2,26,Monday
ORDER_000141,CUST_00204,PROD_0137,Sports,1,364.64,2023-02-11,364.64,UPI,Canada,2023,2,11,Saturday
ORDER_000142,CUST_00286,PROD_0125,Beauty,1,21.86,2023-03-13,21.86,Debit Card,Australia,2023,3,13,Monday
ORDER_000143,CUST_00648,PROD_0009,Clothing,1,65.56,2024-11-18,65.56,COD,India,2024,11,18,Monday
ORDER_000144,CUST_00026,PROD_0121,Sports,1,109.31,2023-01-14,109.31,COD,India,2023,1,14,Saturday
ORDER_000145,CUST_00385,PROD_0152,Beauty,2,99.24,2023-08-03,198.48,Credit Card,Canada,2023,8,3,Thursday
ORDER_000146,CUST_00710,PROD_0052,Sports,3,417.23,2023-04-15,1251.69,UPI,UK,2023,4,15,Saturday
ORDER_000147,CUST_00372,PROD_0080,Sports,1,65.27,2023-11-08,65.27,UPI,India,2023,11,8,Wednesday
ORDER_000148,CUST_00987,PROD_0109,Home,1,105.35,2024-05-20,105.35,UPI,Australia,2024,5,20,Monday
ORDER_000149,CUST_00908,PROD_0114,Toys,1,187.05,2023-12-10,187.05,Debit Card,USA,2023,12,10,Sunday
ORDER_000150,CUST_00870,PROD_0053,Sports,1,364.41,2023-06-14,364.41,NetBanking,USA,2023,6,14,Wednesday
ORDER_000151,CUST_00687,PROD_0106,Sports,1,316.39,2023-03-04,316.39,UPI,Australia,2023,3,4,Saturday
ORDER_000152,CUST_00516,PROD_0037,Beauty,1,430.11,2024-12-10,430.11,NetBanking,India,2024,12,10,Tuesday
ORDER_000153,CUST_00581,PROD_0051,Clothing,1,200.81,2023-11-22,200.81,COD,Germany,2023,11,22,Wednesday
ORDER_000154,CUST_00051,PROD_0135,Sports,2,256.94,2023-05-09,513.88,Credit Card,Australia,2023,5,9,Tuesday
ORDER_000155,CUST_00504,PROD_0047,Electronics,2,258.56,2023-11-27,517.12,UPI,India,2023,11,27,Monday
ORDER_000156,CUST_00606,PROD_0080,Toys,1,213.93,2024-11-12,213.93,UPI,India,2024,11,12,Tuesday
ORDER_000157,CUST_00673,PROD_0161,Beauty,1,113.94,2023-04-06,113.94,Credit Card,Germany,2023,4,6,Thursday
ORDER_000158,CUST_00151,PROD_0149,Clothing,2,244.31,2024-02-18,488.62,COD,Canada,2024,2,18,Sunday
ORDER_000159,CUST_00162,PROD_0034,Toys,2,346.71,2023-11-08,693.42,UPI,Australia,2023,11,8,Wednesday
ORDER_000160,CUST_00953,PROD_0076,Home,2,101.18,2024-10-19,202.36,Debit Card,USA,2024,10,19,Saturday
ORDER_000161,CUST_00185,PROD_0150,Toys,1,234.04,2023-12-19,234.04,UPI,UK,2023,12,19,Tuesday
ORDER_000162,CUST_00339,PROD_0016,Clothing,1,379.0,2024-12-03,379.0,COD,UK,2024,12,3,Tuesday
ORDER_000163,CUST_00740,PROD_0047,Home,1,67.81,2023-11-12,67.81,COD,India,2023,11,12,Sunday
ORDER_000164,CUST_00150,PROD_0070,Clothing,1,191.4,2024-02-23,191.4,Debit Card,Canada,2024,2,23,Friday
ORDER_000165,CUST_00924,PROD_0010,Clothing,1,464.21,2023-12-21,464.21,Debit Card,Australia,2023,12,21,Thursday
ORDER_000166,CUST_00997,PROD_0156,Clothing,1,290.73,2023-07-13,290.73,Debit Card,Germany,2023,7,13,Thursday
ORDER_000167,CUST_00538,PROD_0180,Toys,1,116.42,2024-11-30,116.42,NetBanking,India,2024,11,30,Saturday
ORDER_000168,CUST_00881,PROD_0046,Electronics,1,353.93,2023-08-13,353.93,Debit Card,Canada,2023,8,13,Sunday
ORDER_000169,CUST_00008,PROD_0013,Toys,1,28.85,2023-01-06,28.85,COD,Canada,2023,1,6,Friday
ORDER_000170,CUST_00074,PROD_0005,Beauty,3,382.62,2024-12-09,1147.86,NetBanking,India,2024,12,9,Monday
ORDER_000171,CUST_00561,PROD_0048,Clothing,1,349.77,2023-10-10,349.77,NetBanking,USA,2023,10,10,Tuesday
ORDER_000172,CUST_00948,PROD_0186,Beauty,1,488.97,2023-09-07,488.97,UPI,Canada,2023,9,7,Thursday
ORDER_000173,CUST_00475,PROD_0108,Electronics,2,410.6,2024-11-23,821.2,UPI,USA,2024,11,23,Saturday
ORDER_000174,CUST_00053,PROD_0175,Beauty,1,154.12,2024-02-19,154.12,Debit Card,Germany,2024,2,19,Monday
ORDER_000175,CUST_00471,PROD_0177,Clothing,1,89.03,2023-04-21,89.03,COD,USA,2023,4,21,Friday
ORDER_000176,CUST_00386,PROD_0107,Toys,1,349.3,2023-10-18,349.3,UPI,Canada,2023,10,18,Wednesday
ORDER_000177,CUST_00776,PROD_0095,Sports,1,132.76,2023-04-19,132.76,Credit Card,UK,2023,4,19,Wednesday
ORDER_000178,CUST_00394,PROD_0131,Electronics,1,344.36,2023-08-14,344.36,Debit Card,UK,2023,8,14,Monday
ORDER_000179,CUST_00633,PROD_0133,Beauty,1,183.1,2024-05-28,183.1,NetBanking,India,2024,5,28,Tuesday
ORDER_000180,CUST_00260,PROD_0161,Toys,2,406.68,2024-01-25,813.36,UPI,USA,2024,1,25,Thursday
ORDER_000181,CUST_00633,PROD_0008,Home,1,431.0,2023-07-27,431.0,UPI,India,2023,7,27,Thursday
ORDER_000182,CUST_00008,PROD_0057,Home,1,76.52,2024-05-01,76.52,UPI,UK,2024,5,1,Wednesday
ORDER_000183,CUST_00344,PROD_0011,Toys,2,256.97,2024-06-14,513.94,Debit Card,Australia,2024,6,14,Friday
ORDER_000184,CUST_00838,PROD_0099,Electronics,1,272.6,2024-05-04,272.6,Debit Card,Germany,2024,5,4,Saturday
ORDER_000185,CUST_00548,PROD_0102,Beauty,1,413.32,2023-06-06,413.32,COD,UK,2023,6,6,Tuesday
ORDER_000186,CUST_00958,PROD_0002,Toys,1,315.69,2023-08-20,315.69,COD,Australia,2023,8,20,Sunday
ORDER_000187,CUST_00150,PROD_0172,Electronics,1,131.83,2024-02-16,131.83,NetBanking,Germany,2024,2,16,Friday
ORDER_000188,CUST_00837,PROD_0184,Sports,1,383.21,2023-09-27,383.21,Credit Card,Australia,2023,9,27,Wednesday
ORDER_000189,CUST_00274,PROD_0105,Sports,1,434.65,2024-04-16,434.65,Credit Card,Canada,2024,4,16,Tuesday
ORDER_000190,CUST_00976,PROD_0098,Sports,1,67.82,2023-07-25,67.82,Credit Card,USA,2023,7,25,Tuesday
ORDER_000191,CUST_00589,PROD_0165,Toys,2,427.76,2024-07-29,855.52,Credit Card,UK,2024,7,29,Monday
ORDER_000192,CUST_00742,PROD_0053,Beauty,1,125.93,2023-05-19,125.93,NetBanking,India,2023,5,19,Friday
ORDER_000193,CUST_00277,PROD_0095,Clothing,1,410.61,2023-08-31,410.61,NetBanking,Australia,2023,8,31,Thursday
ORDER_000194,CUST_00867,PROD_0159,Clothing,2,268.57,2023-08-17,537.14,NetBanking,Australia,2023,8,17,Thursday
ORDER_000195,CUST_00001,PROD_0149,Toys,1,13.08,2024-07-03,13.08,COD,Australia,2024,7,3,Wednesday
ORDER_000196,CUST_00033,PROD_0004,Toys,1,42.15,2023-07-28,42.15,UPI,Canada,2023,7,28,Friday
ORDER_000197,CUST_00613,PROD_0181,Electronics,3,229.92,2023-10-08,689.76,UPI,Canada,2023,10,8,Sunday
ORDER_000198,CUST_00140,PROD_0160,Home,1,414.18,2024-02-09,414.18,Debit Card,USA,2024,2,9,Friday
ORDER_000199,CUST_00368,PROD_0077,Clothing,1,265.58,2023-02-06,265.58,Credit Card,UK,2023,2,6,Monday
ORDER_000200,CUST_00532,PROD_0049,Sports,1,224.16,2023-04-04,224.16,NetBanking,Canada,2023,4,4,Tuesday
ORDER_000201,CUST_00130,PROD_0139,Home,1,478.15,2023-12-07,478.15,Credit Card,USA,2023,12,7,Thursday
ORDER_000202,CUST_00050,PROD_0190,Toys,1,483.63,2024-09-16,483.63,COD,Canada,2024,9,16,Monday
ORDER_000203,CUST_00551,PROD_0024,Beauty,1,80.12,2024-01-29,80.12,COD,Germany,2024,1,29,Monday
ORDER_000204,CUST_00423,PROD_0023,Clothing,1,135.63,2023-10-29,135.63,Credit Card,UK,2023,10,29,Sunday
ORDER_000205,CUST_00816,PROD_0135,Beauty,1,175.27,2023-03-17,175.27,UPI,Germany,2023,3,17,Friday
ORDER_000206,CUST_00718,PROD_0128,Electronics,1,51.44,2023-03-30,51.44,COD,USA,2023,3,30,Thursday
ORDER_000207,CUST_00856,PROD_0076,Sports,1,495.26,2024-06-12,495.26,Credit Card,Canada,2024,6,12,Wednesday
ORDER_000208,CUST_00718,PROD_0179,Beauty,1,222.92,2023-12-07,222.92,NetBanking,Canada,2023,12,7,Thursday
ORDER_000209,CUST_00502,PROD_0124,Sports,2,60.43,2023-04-28,120.86,Credit Card,USA,2023,4,28,Friday
ORDER_000210,CUST_00376,PROD_0035,Beauty,1,69.61,2024-07-01,69.61,Credit Card,Australia,2024,7,1,Monday
ORDER_000211,CUST_00210,PROD_0013,Beauty,1,30.05,2023-02-11,30.05,UPI,USA,2023,2,11,Saturday
ORDER_000212,CUST_00265,PROD_0166,Beauty,1,197.1,2023-10-22,197.1,NetBanking,Canada,2023,10,22,Sunday
ORDER_000213,CUST_00184,PROD_0127,Electronics,1,80.32,2024-04-22,80.32,Credit Card,India,2024,4,22,Monday
ORDER_000214,CUST_00878,PROD_0019,Home,1,375.07,2024-08-16,375.07,NetBanking,Canada,2024,8,16,Friday
ORDER_000215,CUST_00991,PROD_0189,Beauty,1,138.28,2024-10-28,138.28,Debit Card,Germany,2024,10,28,Monday
ORDER_000216,CUST_00139,PROD_0082,Sports,1,244.71,2023-06-24,244.71,NetBanking,Germany,2023,6,24,Saturday
ORDER_000217,CUST_00747,PROD_0096,Clothing,1,237.95,2023-03-28,237.95,Credit Card,Australia,2023,3,28,Tuesday
ORDER_000218,CUST_00955,PROD_0150,Toys,1,360.48,2024-06-23,360.48,Credit Card,UK,2024,6,23,Sunday
